Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_bohaievection,InnoDB,10,Dynamic,0,0,16384,0,32768,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_bohaileave-- show table status from `ecology` like 'bill_bohaileave';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_bohaileave,InnoDB,10,Dynamic,0,0,16384,0,32768,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_bohaiout-- show table status from `ecology` like 'bill_bohaiout';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_bohaiout,InnoDB,10,Dynamic,0,0,16384,0,32768,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptadjustdetail-- show table status from `ecology` like 'bill_cptadjustdetail';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptadjustdetail,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptadjustmain-- show table status from `ecology` like 'bill_cptadjustmain';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptadjustmain,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptapplydetail-- show table status from `ecology` like 'bill_cptapplydetail';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptapplydetail,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptapplymain-- show table status from `ecology` like 'bill_cptapplymain';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptapplymain,InnoDB,10,Dynamic,0,0,16384,0,0,0,1,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptfetchdetail-- show table status from `ecology` like 'bill_cptfetchdetail';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptfetchdetail,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptfetchmain-- show table status from `ecology` like 'bill_cptfetchmain';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptfetchmain,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptlend-- show table status from `ecology` like 'bill_cptlend';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
bill_cptlend,InnoDB,10,Dynamic,0,0,16384,0,0,0,,2023-06-01 15:03:13,,,utf8mb3_general_ci,,,
db--table--sql: ecology--bill_cptloss-- show table status from `ecology` like 'bill_cptloss';
Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
