"schema--table--sql: BENCHMARKSQL--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='BENCHMARKSQL'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
TEST_FKTB_1628,100
TEST_FKTB_1629,100
TEST_FKTB_163,100
TEST_FKTB_1630,100
TEST_FKTB_1631,100
TEST_FKTB_1632,100
TEST_FKTB_1633,100
TEST_FKTB_1634,100
TEST_FKTB_1635,100
TEST_FKTB_1636,100
TEST_FKTB_1637,100
TEST_FKTB_1638,100
TEST_FKTB_1639,100
TEST_FKTB_164,100
TEST_FKTB_1640,100
TEST_FKTB_1641,100
TEST_FKTB_1642,100
TEST_FKTB_1643,100
TEST_FKTB_1644,100
TEST_FKTB_1645,100
TEST_FKTB_1646,100
TEST_FKTB_1647,100
TEST_FKTB_1648,100
TEST_FKTB_1649,100
TEST_FKTB_165,100
TEST_FKTB_1650,100
TEST_FKTB_1651,100
TEST_FKTB_1652,100
TEST_FKTB_1653,100
TEST_FKTB_1654,100
TEST_FKTB_1655,100
TEST_FKTB_1656,100
TEST_FKTB_1657,100
TEST_FKTB_1658,100
TEST_FKTB_1659,100
TEST_FKTB_166,100
TEST_FKTB_1660,100
TEST_FKTB_1661,100
TEST_FKTB_1662,100
TEST_FKTB_1663,100
TEST_FKTB_1664,100
TEST_FKTB_1665,100
TEST_FKTB_1666,100
TEST_FKTB_1667,100
TEST_FKTB_1668,100
TEST_FKTB_1669,100
TEST_FKTB_167,100
TEST_FKTB_1670,100
TEST_FKTB_1671,100
TEST_FKTB_1672,100
TEST_FKTB_1673,100
TEST_FKTB_1674,100
TEST_FKTB_1675,100
TEST_FKTB_1676,100
TEST_FKTB_1677,100
TEST_FKTB_1678,100
TEST_FKTB_1679,100
TEST_FKTB_168,100
TEST_FKTB_1680,100
TEST_FKTB_1681,100
TEST_FKTB_1682,100
TEST_FKTB_1683,100
TEST_FKTB_1684,100
TEST_FKTB_1685,100
TEST_FKTB_1686,100
TEST_FKTB_1687,100
TEST_FKTB_1688,100
TEST_FKTB_1689,100
TEST_FKTB_169,100
TEST_FKTB_1690,100
TEST_FKTB_1691,100
TEST_FKTB_1692,100
TEST_FKTB_1693,100
TEST_FKTB_1694,100
TEST_FKTB_1695,100
TEST_FKTB_1696,100
TEST_FKTB_1697,100
TEST_FKTB_1698,100
TEST_FKTB_1699,100
TEST_FKTB_17,100
TEST_FKTB_170,100
TEST_FKTB_1700,100
TEST_FKTB_1701,100
TEST_FKTB_1702,100
TEST_FKTB_1703,100
TEST_FKTB_1704,100
TEST_FKTB_1705,100
TEST_FKTB_1706,100
TEST_FKTB_1707,100
TEST_FKTB_1708,100
TEST_FKTB_1709,100
TEST_FKTB_171,100
TEST_FKTB_1710,100
TEST_FKTB_1711,100
TEST_FKTB_1712,100
TEST_FKTB_1713,100
TEST_FKTB_1714,100
TEST_FKTB_1715,100
TEST_FKTB_1716,100
TEST_FKTB_1717,100
TEST_FKTB_1718,100
TEST_FKTB_1719,100
TEST_FKTB_172,100
TEST_FKTB_1720,100
TEST_FKTB_1721,100
TEST_FKTB_1722,100
TEST_FKTB_1723,100
TEST_FKTB_1724,100
TEST_FKTB_1725,100
TEST_FKTB_1726,100
TEST_FKTB_1727,100
TEST_FKTB_1728,100
TEST_FKTB_1729,100
TEST_FKTB_173,100
TEST_FKTB_1730,100
TEST_FKTB_1731,100
TEST_FKTB_1732,100
TEST_FKTB_1733,100
TEST_FKTB_1734,100
TEST_FKTB_1735,100
TEST_FKTB_1736,100
TEST_FKTB_1737,100
TEST_FKTB_1738,100
TEST_FKTB_1739,100
TEST_FKTB_174,100
TEST_FKTB_1740,100
TEST_FKTB_1741,100
TEST_FKTB_1742,100
TEST_FKTB_1743,100
TEST_FKTB_1744,100
TEST_FKTB_1745,100
TEST_FKTB_1746,100
TEST_FKTB_1747,100
TEST_FKTB_1748,100
TEST_FKTB_1749,100
TEST_FKTB_175,100
TEST_FKTB_1750,100
TEST_FKTB_1751,100
TEST_FKTB_1752,100
TEST_FKTB_1753,100
TEST_FKTB_1754,100
TEST_FKTB_1755,100
TEST_FKTB_1756,100
TEST_FKTB_1757,100
TEST_FKTB_1758,100
TEST_FKTB_1759,100
TEST_FKTB_176,100
TEST_FKTB_1760,100
TEST_FKTB_1761,100
TEST_FKTB_1762,100
TEST_FKTB_1763,100
TEST_FKTB_1764,100
TEST_FKTB_1765,100
TEST_FKTB_1766,100
TEST_FKTB_1767,100
TEST_FKTB_1768,100
TEST_FKTB_1769,100
TEST_FKTB_177,100
TEST_FKTB_1770,100
TEST_FKTB_1771,100
TEST_FKTB_1772,100
TEST_FKTB_1773,100
TEST_FKTB_1774,100
TEST_FKTB_1775,100
TEST_FKTB_1776,100
TEST_FKTB_1777,100
TEST_FKTB_1778,100
TEST_FKTB_1779,100
TEST_FKTB_178,100
TEST_FKTB_1780,100
TEST_FKTB_1781,100
TEST_FKTB_1782,100
TEST_FKTB_1783,100
TEST_FKTB_1784,100
TEST_FKTB_1785,100
TEST_FKTB_1786,100
TEST_FKTB_1787,100
TEST_FKTB_1788,100
TEST_FKTB_1789,100
TEST_FKTB_179,100
TEST_FKTB_1790,100
TEST_FKTB_1791,100
TEST_FKTB_1792,100
TEST_FKTB_1793,100
TEST_FKTB_1794,100
TEST_FKTB_1795,100
TEST_FKTB_1796,100
TEST_FKTB_1797,100
TEST_FKTB_1798,100
TEST_FKTB_1799,100
TEST_FKTB_18,100
TEST_FKTB_180,100
TEST_FKTB_1800,100
TEST_FKTB_1801,100
TEST_FKTB_1802,100
TEST_FKTB_1803,100
TEST_FKTB_1804,100
TEST_FKTB_1805,100
TEST_FKTB_1806,100
TEST_FKTB_1807,100
TEST_FKTB_1808,100
TEST_FKTB_1809,100
TEST_FKTB_181,100
TEST_FKTB_1810,100
TEST_FKTB_1811,100
TEST_FKTB_1812,100
TEST_FKTB_1813,100
TEST_FKTB_1814,100
TEST_FKTB_1815,100
TEST_FKTB_1816,100
TEST_FKTB_1817,100
TEST_FKTB_1818,100
TEST_FKTB_1819,100
TEST_FKTB_182,100
TEST_FKTB_1820,100
